Domain,Region,Element Code,Element,Item,Year,Unit,Flag,Flag Description,Area,Co2 Emissions,Temperature,Yield
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Austria,1347.0373,1.276,7905985
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Austria,1318.4478,0.141,5583340
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Austria,1273.877,1.263,5090229
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Austria,1170.4784,0.543,5567394
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Austria,1107.7861,1.978,5861475
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Austria,1134.8372,0.958,7358241
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Austria,1144.3842,-0.183,7438518
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Austria,1144.8469,0.533,8066644
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Austria,1157.781,1.363,8602532
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Austria,1162.8624,1.001,9360908
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Austria,1124.7622,1.788,9695397
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Austria,1122.7427,1.523,10121063
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Austria,1094.2954,1.556,10490327
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Austria,1117.4066,1.487,10272718
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Austria,1104.9455,0.857,10923662
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Austria,1032.0644,0.657,10970555
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Austria,1014.3604,0.94,11022132
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Austria,988.0637,2.166,11529879
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Austria,984.9416,1.611,12289994
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Austria,937.8226,1.572,12283449
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Austria,939.7294,0.684,12382298
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Austria,911.6952,1.398,13514700
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Austria,898.5636,1.81,13119836
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Austria,914.4516,1.122,14056321
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Austria,908.592,2.43,14370652
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Austria,904.3346,2.184,13649119
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Austria,917.9009,2.115,13533970
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Austria,901.943,1.765,13310973
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Austria,894.766,2.563,17680020
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Austria,894.4637,2.408,15006438
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Austrailia,4381.7801,0.529,10565426
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Austrailia,4288.1799,0.805,10535171
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Austrailia,4298.0348,0.247,10943917
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Austrailia,4382.4321,0.449,10656828
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Austrailia,4431.9617,0.187,10973491
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Austrailia,4527.3154,0.377,10567421
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Austrailia,4499.7065,0.559,10920247
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Austrailia,4716.6039,0.349,11254527
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Austrailia,4896.4183,1.048,11463289
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Austrailia,5021.7032,0.56,11857252
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Austrailia,5124.9441,0.121,11655371
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Austrailia,5048.991,0.304,13111957
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Austrailia,5447.0395,0.687,12375894
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Austrailia,6615.7186,0.778,12142977
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Austrailia,6872.9178,0.666,12289136
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Austrailia,7365.842,1.137,12554665
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Austrailia,7509.4743,0.653,12045774
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Austrailia,7745.8705,0.865,12248950
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Austrailia,8025.8605,0.557,12347874
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Austrailia,7757.187,0.96,12403244
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Austrailia,8215.2149,0.619,12444209
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Austrailia,7745.849,0.148,12115176
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Austrailia,7633.3123,0.24,12543905
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Austrailia,7439.3748,1.436,13177366
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Austrailia,7005.506,1.141,12427834
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Austrailia,6905.4437,1.038,12751397
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Austrailia,7208.066,1.126,13549812
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Austrailia,7658.3606,1.111,13235247
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Austrailia,7746.1425,1.104,12570132
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Austrailia,7983.9912,1.405,13268526
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Argentina,8953.293,0.393,5662697
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Argentina,7495.208,0.224,5832773
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Argentina,9745.1969,-0.289,5864534
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Argentina,11354.4364,0.043,5758007
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Argentina,12831.8508,0.457,6091585
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Argentina,13202.8357,0.21,6359345
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Argentina,14285.8792,0.476,6027308
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Argentina,13943.5797,0.732,6655220
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Argentina,13729.0927,0.32,6691391
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Argentina,13915.6267,0.138,6578416
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Argentina,13999.7833,-0.22,6740079
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Argentina,12876.1869,0.392,6904104
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Argentina,13007.6073,0.259,6718462
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Argentina,14758.7518,0.593,6875341
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Argentina,16726.9712,0.384,6922529
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Argentina,19579.7549,0.171,7129370
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Argentina,14813.3889,0.508,7070710
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Argentina,12930.7019,-0.248,6878701
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Argentina,15439.8244,0.522,6963411
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Argentina,13716.8428,0.735,7014590
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Argentina,11555.2634,0.042,7054952
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Argentina,9804.6963,0.29,7314384
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Argentina,9960.7445,0.713,7061336
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Argentina,13404.7293,0.37,7060192
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Argentina,12344.6434,0.901,7035413
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Argentina,12981.0122,0.892,7073816
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Argentina,12635.3279,0.417,6989542
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Argentina,12897.4086,1.01,6793186
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Argentina,12626.5871,0.783,6951885
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Argentina,12682.9759,0.664,6951575
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,United States of America,50419.342,0.668,11775450
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,United States of America,50510.0919,0.522,12034299
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,United States of America,53248.0343,0.394,12647918
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,United States of America,50742.263,0.007,12409119
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,United States of America,51607.7869,0.465,13025298
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,United States of America,51683.6853,0.629,12522802
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,United States of America,52952.3568,-0.009,12620862
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,United States of America,53688.3933,0.391,13743100
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,United States of America,49763.4315,1.268,13078809
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,United States of America,46584.3596,0.755,13648467
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,United States of America,49294.1406,1,15006798
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,United States of America,53727.3474,0.784,14148690
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,United States of America,51803.9099,0.953,13962542
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,United States of America,46732.0627,0.992,14422528
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,United States of America,57559.2281,0.866,15047188
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,United States of America,56955.2939,1.157,14350383
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,United States of America,61128.3058,1.028,14679367
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,United States of America,56972.2564,1.147,14915685
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,United States of America,55043.7023,0.215,14894749
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,United States of America,51204.1236,0.399,15135752
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,United States of America,52116.1137,0.694,15026142
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,United States of America,49713.5217,0.539,15401294
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,United States of America,47409.4801,1.451,15778837
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,United States of America,51537.2785,0.618,15523890
