Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1990,1990,3050,FAO TIER 1,kilotonnes,2945052.567,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1991,1991,3050,FAO TIER 1,kilotonnes,2945052.567,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1992,1992,3050,FAO TIER 1,kilotonnes,2945052.567,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1993,1993,3050,FAO TIER 1,kilotonnes,2945052.567,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1994,1994,3050,FAO TIER 1,kilotonnes,3302172.287,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1995,1995,3050,FAO TIER 1,kilotonnes,3302172.287,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1996,1996,3050,FAO TIER 1,kilotonnes,3302172.287,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1997,1997,3050,FAO TIER 1,kilotonnes,3302172.287,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1998,1998,3050,FAO TIER 1,kilotonnes,3302172.287,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,1999,1999,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2000,2000,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2001,2001,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2002,2002,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2003,2003,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2004,2004,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2005,2005,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2006,2006,3050,FAO TIER 1,kilotonnes,3693381.752,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2007,2007,3050,FAO TIER 1,kilotonnes,4061167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2008,2008,3050,FAO TIER 1,kilotonnes,4061167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2009,2009,3050,FAO TIER 1,kilotonnes,4061167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2010,2010,3050,FAO TIER 1,kilotonnes,4061167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2011,2011,3050,FAO TIER 1,kilotonnes,4171167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2012,2012,3050,FAO TIER 1,kilotonnes,4171167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2013,2013,3050,FAO TIER 1,kilotonnes,4171167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2014,2014,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2015,2015,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2016,2016,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2017,2017,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2018,2018,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
GT,Emissions Totals,5000,World,7273,Emissions (CO2),6750,Net Forest conversion,2019,2019,3050,FAO TIER 1,kilotonnes,4271167.148,Fc,Calculated data,
