Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1961,1961,°C,0.212,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1962,1962,°C,0.035,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1963,1963,°C,0.165,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1964,1964,°C,-0.255,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1965,1965,°C,-0.228,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1966,1966,°C,0.201,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1967,1967,°C,-0.113,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1968,1968,°C,-0.121,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1969,1969,°C,-0.09,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1970,1970,°C,0.15,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1971,1971,°C,-0.094,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1972,1972,°C,-0.199,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1973,1973,°C,0.268,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1974,1974,°C,-0.181,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1975,1975,°C,0.087,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1976,1976,°C,-0.312,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1977,1977,°C,0.273,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1978,1978,°C,0.004,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1979,1979,°C,0.225,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1980,1980,°C,0.333,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1981,1981,°C,0.442,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1982,1982,°C,0.085,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1983,1983,°C,0.458,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1984,1984,°C,0.123,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1985,1985,°C,-0.035,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1986,1986,°C,0.237,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1987,1987,°C,0.396,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1988,1988,°C,0.554,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1989,1989,°C,0.331,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1990,1990,°C,0.642,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1991,1991,°C,0.469,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1992,1992,°C,0.188,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1993,1993,°C,0.356,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1994,1994,°C,0.506,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1995,1995,°C,0.836,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1996,1996,°C,0.359,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1997,1997,°C,0.657,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1998,1998,°C,0.992,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1999,1999,°C,0.787,Fc,Calculated data
ET,Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2000,2000,°C,0.732,Fc,Calculated data
