Year,Area,Item,Unit,Production (Tonnes),CH4 Emissions intensity
1961,Africa,Cereals excluding rice,tonnes,40599096,0.1578
1962,Africa,Cereals excluding rice,tonnes,46070435,0.1485
1963,Africa,Cereals excluding rice,tonnes,47273029,0.1533
1964,Africa,Cereals excluding rice,tonnes,44038693,0.168
1965,Africa,Cereals excluding rice,tonnes,44915489,0.1707
1966,Africa,Cereals excluding rice,tonnes,41525054,0.1755
1967,Africa,Cereals excluding rice,tonnes,53181279,0.1569
1968,Africa,Cereals excluding rice,tonnes,49411484,0.1717
1969,Africa,Cereals excluding rice,tonnes,51157619,0.1747
1970,Africa,Cereals excluding rice,tonnes,51562386,0.1786
1971,Africa,Cereals excluding rice,tonnes,56656712,0.1747
1972,Africa,Cereals excluding rice,tonnes,55691223,0.1814
1973,Africa,Cereals excluding rice,tonnes,48648209,0.2013
1974,Africa,Cereals excluding rice,tonnes,62282654,0.1711
1975,Africa,Cereals excluding rice,tonnes,59684162,0.1859
1976,Africa,Cereals excluding rice,tonnes,61517787,0.1885
1977,Africa,Cereals excluding rice,tonnes,57376577,0.1948
1978,Africa,Cereals excluding rice,tonnes,60095335,0.1925
1979,Africa,Cereals excluding rice,tonnes,56021523,0.2078
1980,Africa,Cereals excluding rice,tonnes,62276062,0.2099
1981,Africa,Cereals excluding rice,tonnes,67397237,0.2046
1982,Africa,Cereals excluding rice,tonnes,61571171,0.2189
1983,Africa,Cereals excluding rice,tonnes,54990397,0.2292
1984,Africa,Cereals excluding rice,tonnes,55537104,0.2332
1985,Africa,Cereals excluding rice,tonnes,72423415,0.1997
1986,Africa,Cereals excluding rice,tonnes,77218572,0.199
1987,Africa,Cereals excluding rice,tonnes,72056866,0.2069
1988,Africa,Cereals excluding rice,tonnes,83818692,0.1942
1989,Africa,Cereals excluding rice,tonnes,84819974,0.1898
1990,Africa,Cereals excluding rice,tonnes,79381445,0.2011
1991,Africa,Cereals excluding rice,tonnes,88915239.7,0.1876
1992,Africa,Cereals excluding rice,tonnes,74201202.72,0.2131
1993,Africa,Cereals excluding rice,tonnes,84179343.18,0.2015
1994,Africa,Cereals excluding rice,tonnes,93809772.61,0.1792
1995,Africa,Cereals excluding rice,tonnes,81539401.02,0.2017
1996,Africa,Cereals excluding rice,tonnes,106216275.9,0.1778
1997,Africa,Cereals excluding rice,tonnes,90507983.53,0.1933
1998,Africa,Cereals excluding rice,tonnes,97740861.99,0.1867
1999,Africa,Cereals excluding rice,tonnes,94003199.81,0.1903
2000,Africa,Cereals excluding rice,tonnes,91400846.95,0.1948
2001,Africa,Cereals excluding rice,tonnes,97375323.17,0.189
2002,Africa,Cereals excluding rice,tonnes,99426416.26,0.1935
2003,Africa,Cereals excluding rice,tonnes,111513838.2,0.1966
2004,Africa,Cereals excluding rice,tonnes,111701068.4,0.1931
2005,Africa,Cereals excluding rice,tonnes,117600152.2,0.1911
2006,Africa,Cereals excluding rice,tonnes,124556821.4,0.1743
2007,Africa,Cereals excluding rice,tonnes,115102969.6,0.1832
2008,Africa,Cereals excluding rice,tonnes,127025955,0.1861
2009,Africa,Cereals excluding rice,tonnes,131950622.6,0.1712
2010,Africa,Cereals excluding rice,tonnes,135737068.6,0.184
2011,Africa,Cereals excluding rice,tonnes,132410286.2,0.1845
2012,Africa,Cereals excluding rice,tonnes,138733734.4,0.1764
2013,Africa,Cereals excluding rice,tonnes,143440795.9,0.1832
2014,Africa,Cereals excluding rice,tonnes,152619417.5,0.181
2015,Africa,Cereals excluding rice,tonnes,148909065.6,0.1781
2016,Africa,Cereals excluding rice,tonnes,145814823.5,0.1896
2017,Africa,Cereals excluding rice,tonnes,158318396.3,0.1832
1961,Africa,"Rice, paddy",tonnes,4309840,1.8647
1962,Africa,"Rice, paddy",tonnes,5581664,1.6684
1963,Africa,"Rice, paddy",tonnes,5814128,1.6135
1964,Africa,"Rice, paddy",tonnes,5834832,1.6532
1965,Africa,"Rice, paddy",tonnes,5473411,1.6895
1966,Africa,"Rice, paddy",tonnes,5558500,1.7838
1967,Africa,"Rice, paddy",tonnes,6620027,1.6536
1968,Africa,"Rice, paddy",tonnes,6971161,1.6496
1969,Africa,"Rice, paddy",tonnes,7136714,1.6005
1970,Africa,"Rice, paddy",tonnes,7286522,1.6068
1971,Africa,"Rice, paddy",tonnes,7364212,1.6196
1972,Africa,"Rice, paddy",tonnes,7302579,1.6308
1973,Africa,"Rice, paddy",tonnes,7349175,1.6246
1974,Africa,"Rice, paddy",tonnes,7688911,1.576
1975,Africa,"Rice, paddy",tonnes,8099748,1.5642
1976,Africa,"Rice, paddy",tonnes,7835911,1.6362
1977,Africa,"Rice, paddy",tonnes,7980646,1.6654
1978,Africa,"Rice, paddy",tonnes,8194104,1.6324
1979,Africa,"Rice, paddy",tonnes,8488757,1.645
1980,Africa,"Rice, paddy",tonnes,8607638,1.6418
1981,Africa,"Rice, paddy",tonnes,8574392,1.6792
1982,Africa,"Rice, paddy",tonnes,8956675,1.6449
1983,Africa,"Rice, paddy",tonnes,9103279,1.5659
1984,Africa,"Rice, paddy",tonnes,9129755,1.5721
