Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Yield
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1991,hg/ha,35362
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1992,hg/ha,35847
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1993,hg/ha,36161
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1994,hg/ha,36576
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1995,hg/ha,36580
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1996,hg/ha,37840
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1997,hg/ha,38166
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1998,hg/ha,38160
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",1999,hg/ha,38970
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2000,hg/ha,38874
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2001,hg/ha,39502
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2002,hg/ha,38622
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2003,hg/ha,39515
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2004,hg/ha,40301
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2005,hg/ha,40847
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2006,hg/ha,41187
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2007,hg/ha,42217
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2008,hg/ha,42919
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2009,hg/ha,43416
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2010,hg/ha,43308
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2011,hg/ha,44598
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2012,hg/ha,45246
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2013,hg/ha,44884
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2014,hg/ha,45116
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2015,hg/ha,45688
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2016,hg/ha,45505
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2017,hg/ha,45574
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2018,hg/ha,46087
Crops and livestock products,5000,World,5419,Yield,27,"Rice, paddy",2019,hg/ha,46618
