Date,Open,High,Low,Close,Adj Close,Volume
2000-08-24,8.250000,8.250000,8.062500,8.212500,5.699846,1464800
2000-08-25,8.387500,8.600000,8.187500,8.537500,5.925410,2207200
2000-08-28,8.625000,8.625000,8.400000,8.512500,5.908061,3606800
2000-08-29,8.487500,8.575000,8.312500,8.500000,5.899385,4255200
2000-08-30,8.462500,8.500000,8.350000,8.487500,5.890710,1610400
2000-08-31,8.500000,8.550000,8.312500,8.312500,5.769252,1607600
2000-09-01,8.475000,8.525000,8.312500,8.450000,5.864683,811200
2000-09-04,null,null,null,null,null,null
2000-09-05,8.537500,8.600000,8.487500,8.525000,5.916736,1812800
2000-09-06,8.550000,8.875000,8.550000,8.800000,6.107597,1925600
2000-09-07,8.750000,8.825000,8.750000,8.812500,6.116274,2079600
2000-09-08,8.837500,8.837500,8.687500,8.700000,6.038195,2858800
2000-09-11,8.650000,8.987500,8.650000,8.937500,6.203027,1876800
2000-09-12,9.025000,9.312500,9.025000,9.212500,6.393890,2948000
2000-09-13,9.125000,9.450000,9.125000,9.412500,6.547801,2770000
2000-09-14,9.500000,9.500000,9.300000,9.400000,6.539109,1972800
2000-09-15,9.500000,9.875000,9.400000,9.800000,6.817369,3755600
2000-09-18,9.837500,9.950000,9.600000,9.637500,6.704324,2071200
2000-09-19,9.250000,9.625000,9.062500,9.325000,6.486935,1612800
2000-09-20,9.475000,9.475000,8.875000,8.900000,6.191281,2946400
2000-09-21,8.912500,9.000000,8.687500,8.712500,6.060847,1942000
2000-09-22,8.537500,8.912500,8.312500,8.437500,5.869545,1875600
2000-09-25,8.437500,8.437500,8.125000,8.225000,5.721721,1239200
2000-09-26,8.312500,8.425000,8.187500,8.225000,5.721721,4013200
2000-09-27,8.350000,8.412500,8.200000,8.225000,5.721721,3604800
2000-09-28,8.250000,8.300000,8.037500,8.062500,5.608678,3478000
2000-09-29,8.187500,8.387500,8.087500,8.300000,5.773893,3465600
2000-10-02,8.437500,8.500000,8.225000,8.275000,5.756503,1655200
2000-10-03,8.275000,8.275000,8.087500,8.175000,5.686939,3820800
2000-10-04,8.050000,8.112500,7.975000,8.062500,5.608678,1632000
2000-10-05,8.000000,8.112500,7.900000,7.987500,5.556502,5516000
2000-10-06,7.987500,8.000000,7.962500,8.000000,5.565199,794400
2000-10-09,null,null,null,null,null,null
2000-10-10,8.187500,8.312500,8.125000,8.287500,5.765196,2396400
2000-10-11,8.400000,8.525000,8.087500,8.200000,5.704329,2518000
2000-10-12,8.375000,8.562500,8.250000,8.475000,5.895633,3020000
2000-10-13,8.500000,8.500000,8.175000,8.262500,5.747806,1612000
2000-10-16,8.250000,8.437500,8.250000,8.375000,5.826067,992400
2000-10-17,8.362500,8.487500,8.262500,8.387500,5.834763,1124400
2000-10-18,8.462500,8.537500,8.412500,8.525000,5.930416,1167600
2000-10-19,8.400000,8.600000,8.400000,8.525000,5.930416,3583200
2000-10-20,8.575000,8.712500,8.125000,8.250000,5.739110,1635200
2000-10-23,8.250000,8.250000,7.725000,7.850000,5.460851,2310800
2000-10-24,7.937500,8.187500,7.875000,8.037500,5.591285,1156000
2000-10-25,7.850000,8.312500,7.762500,8.175000,5.686939,5392000
2000-10-26,8.250000,8.312500,8.025000,8.150000,5.669548,2131600
2000-10-27,8.287500,8.287500,8.050000,8.050000,5.599982,2025200
2000-10-30,8.175000,8.175000,7.425000,7.575000,5.269549,2894000
2000-10-31,7.587500,7.675000,7.350000,7.437500,5.173896,4597200
2000-11-01,7.500000,7.725000,7.500000,7.687500,5.347807,2828400
2000-11-02,7.537500,7.900000,7.487500,7.875000,5.478244,3298400
2000-11-03,8.000000,8.100000,7.750000,7.787500,5.417373,1564400
2000-11-06,7.750000,7.750000,7.500000,7.625000,5.304330,1710000
2000-11-07,7.575000,7.750000,7.550000,7.650000,5.321722,1214800
2000-11-08,7.562500,7.750000,7.562500,7.737500,5.382591,1394400
2000-11-09,7.800000,7.900000,7.750000,7.875000,5.478244,698000
2000-11-10,7.787500,7.887500,7.712500,7.750000,5.391285,1400800
2000-11-13,7.812500,7.987500,7.750000,7.925000,5.513024,1131200
2000-11-14,7.987500,8.000000,7.712500,7.750000,5.391285,2722800
2000-11-15,7.825000,7.850000,7.700000,7.750000,5.391285,3886400
2000-11-16,7.800000,7.812500,7.625000,7.750000,5.391285,3444000
2000-11-17,7.687500,7.800000,7.675000,7.737500,5.382591,8751600
2000-11-20,7.862500,7.987500,7.800000,7.875000,5.478244,990000
2000-11-21,7.875000,8.112500,7.825000,8.112500,5.643459,3082800
2000-11-22,7.987500,8.175000,7.987500,8.175000,5.686939,1575600
2000-11-23,8.050000,8.250000,8.050000,8.225000,5.721721,228800
2000-11-24,8.225000,8.350000,8.125000,8.350000,5.808677,657600
2000-11-27,8.187500,8.375000,8.062500,8.325000,5.791286,1877200
2000-11-28,8.287500,8.462500,8.125000,8.162500,5.678241,2384000
2000-11-29,8.175000,8.362500,8.075000,8.312500,5.782590,2290400
2000-11-30,8.137500,8.600000,8.137500,8.600000,5.982588,1206000
2000-12-01,8.625000,8.775000,8.387500,8.775000,6.104327,1620000
2000-12-04,8.625000,9.125000,8.612500,8.975000,6.243458,2136000
