Domain,Area Code (FAO),Area,Element Code,Element,Item,Year,Unit,Yield
Crops and livestock products,5000,World,5419,Yield,Wheat,1991,hg/ha,24435
Crops and livestock products,5000,World,5419,Yield,Wheat,1992,hg/ha,25404
Crops and livestock products,5000,World,5419,Yield,Wheat,1993,hg/ha,25436
Crops and livestock products,5000,World,5419,Yield,Wheat,1994,hg/ha,24484
Crops and livestock products,5000,World,5419,Yield,Wheat,1995,hg/ha,25153
Crops and livestock products,5000,World,5419,Yield,Wheat,1996,hg/ha,25765
Crops and livestock products,5000,World,5419,Yield,Wheat,1997,hg/ha,27020
Crops and livestock products,5000,World,5419,Yield,Wheat,1998,hg/ha,27058
Crops and livestock products,5000,World,5419,Yield,Wheat,1999,hg/ha,27514
Crops and livestock products,5000,World,5419,Yield,Wheat,2000,hg/ha,27218
Crops and livestock products,5000,World,5419,Yield,Wheat,2001,hg/ha,27417
Crops and livestock products,5000,World,5419,Yield,Wheat,2002,hg/ha,27551
Crops and livestock products,5000,World,5419,Yield,Wheat,2003,hg/ha,26514
Crops and livestock products,5000,World,5419,Yield,Wheat,2004,hg/ha,29426
Crops and livestock products,5000,World,5419,Yield,Wheat,2005,hg/ha,28287
Crops and livestock products,5000,World,5419,Yield,Wheat,2006,hg/ha,28904
Crops and livestock products,5000,World,5419,Yield,Wheat,2007,hg/ha,28155
Crops and livestock products,5000,World,5419,Yield,Wheat,2008,hg/ha,30626
Crops and livestock products,5000,World,5419,Yield,Wheat,2009,hg/ha,30357
Crops and livestock products,5000,World,5419,Yield,Wheat,2010,hg/ha,29721
Crops and livestock products,5000,World,5419,Yield,Wheat,2011,hg/ha,31639
Crops and livestock products,5000,World,5419,Yield,Wheat,2012,hg/ha,30917
Crops and livestock products,5000,World,5419,Yield,Wheat,2013,hg/ha,32458
Crops and livestock products,5000,World,5419,Yield,Wheat,2014,hg/ha,33162
Crops and livestock products,5000,World,5419,Yield,Wheat,2015,hg/ha,33213
Crops and livestock products,5000,World,5419,Yield,Wheat,2016,hg/ha,34175
Crops and livestock products,5000,World,5419,Yield,Wheat,2017,hg/ha,35378
Crops and livestock products,5000,World,5419,Yield,Wheat,2018,hg/ha,34273
Crops and livestock products,5000,World,5419,Yield,Wheat,2019,hg/ha,35468
