Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1991,1991,°C,0.469,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1992,1992,°C,0.188,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1993,1993,°C,0.356,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1994,1994,°C,0.506,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1995,1995,°C,0.836,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1996,1996,°C,0.359,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1997,1997,°C,0.657,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1998,1998,°C,0.992,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,1999,1999,°C,0.787,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2000,2000,°C,0.732,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2001,2001,°C,0.835,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2002,2002,°C,1.015,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2003,2003,°C,0.895,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2004,2004,°C,0.916,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2005,2005,°C,1.109,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2006,2006,°C,1.004,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2007,2007,°C,1.199,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2008,2008,°C,0.937,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2009,2009,°C,0.961,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2010,2010,°C,1.22,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2011,2011,°C,0.925,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2012,2012,°C,1.081,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2013,2013,°C,1.023,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2014,2014,°C,1.059,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2015,2015,°C,1.424,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2016,2016,°C,1.668,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2017,2017,°C,1.438,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2018,2018,°C,1.301,Fc,Calculated data
Temperature change,5000,World,7271,Temperature change,7020,Meteorological year,2019,2019,°C,1.463,Fc,Calculated data
